Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
1,700,202,0.85,1,0.071216739,1,9.091429572,3.997865665,202.0972276,9.506865091999998,6
2,700,210,0.675,1,0.008885782,1,11.82149731,4.682936463,210.1028685,16.118123404000002,6
3,500,166,1.06365,1,0.14599883,1,10.33622756,3.2970111,165.9224812,8.544784557,8
4,900,174,1.38745,1,0.507357939,1,18.33821468,6.886555042,173.9514375,36.709862386,6
5,100,242,1.475,1,0.275084593,1,20.56072012,4.59392821,242.1187912,36.531087091,4
6,200,190,0.71406,1,-0.089991087,1,7.34257692,1.643237948,190.0857711,3.904748167,6
7,500,162,0.82176,1,0.03732393,1,10.70510785,3.375265808,162.0827934,8.769780033,8
8,400,198,0.75,1,-0.030685858,1,7.518468259,2.578872072,198.0637303,5.750538813,6
9,700,182,1.125,1,0.219848422,1,10.77762718,4.208440366,181.9243089,11.625499966,8
10,1000,234,0.65,1,0.057482783,1,19.13931018,6.740971065,234.0851742,40.399787582,6
11,600,242,1.075,1,0.134973627,1,12.1343036,3.5313835,242.1060304,12.310708983,6
12,500,170,0.5,1,-0.045589688,1,12.33204942,4.420223079,170.0547321,15.552638547,6
13,900,206,1.09992,1,0.232808685,1,12.12201858,5.159806845,205.9081498,16.618413064000002,8
14,200,162,1.375,1,0.253489616,1,6.71290415,1.844454944,161.9758085,3.3214354650000004,8
15,200,210,0.7,1,-0.100006046,1,10.75487006,2.17654516,210.0651568,7.938544095999999,6
16,900,198,0.54624,1,0.068921397,1,17.54762662,6.927207915,198.0411474,35.927673123999995,6
17,800,190,1.25,1,0.326177696,1,12.14949221,5.120023691,189.9055613,16.500618009999997,6
18,1000,162,0.99218,1,0.288858272,1,19.58795475,7.27571409,161.9497359,42.660287895,8
19,500,238,1.66161,1,0.555932692,1,25.86212666,7.576299771,238.0608731,74.414620951,6
20,600,210,0.475,1,-0.050958381,1,17.60996608,5.769630553,210.0177402,31.933198616,6
21,300,226,1.775,1,0.610698192,1,27.3692858,7.796551812,225.738578,84.158999008,6
22,600,194,0.90573,1,0.072797431,1,7.620743004,3.349278893,194.0844542,6.42721666,8
23,1000,194,1.1,1,0.277446665,1,13.78367225,6.118291781,193.9279724,22.948887538,8
24,100,174,0.975,1,0.000199959,1,4.752372821,1.230982075,174.0824165,2.2682404120000004,4
25,700,226,0.75,1,0.019119849,1,12.56541702,4.397808306,226.0627184,16.213251537999998,6
26,400,194,0.85,1,0.009726841,1,5.388495277,2.259258165,194.0568759,3.5724426130000007,6
27,700,198,0.88897,1,0.085878082,1,8.462871857,3.94239866,198.1062623,8.742018926,8
28,800,210,0.7,1,0.039983989,1,12.96194627,5.116364356,210.0855431,18.901338227,6
29,1000,210,1.3,1,0.397018383,1,16.41439005,6.464264994,209.953374,30.324592414,6
30,800,206,0.825,1,0.08276302,1,11.14400452,4.688555054,206.1044227,13.775850262,6
31,200,178,1.325,1,0.222224211,1,6.696975027,1.711953611,177.9426896,3.397631261,6
