Index,P,Vref,D1,D2,D0,Validity,ipk,irms,Vo,Ptotal,nZVS
0,100,162,1.0,1,0.013747857,1,6.632602488,1.727726945,162.0639536,4.158502378,4
1,100,162,0.975,1,0.001403083,1,6.501499861,1.720403549,162.0695969,3.977281794,4
2,100,162,1.025,1,0.026357837,1,6.496159573,1.71910394,162.0920102,3.9726138240000006,4
3,100,162,0.95,1,-0.010637527,1,6.383521487,1.70114544,162.0798793,3.746936969000001,4
4,100,162,1.05,1,0.039351613,1,6.382220947,1.700821555,162.0852281,3.746267622,4
5,100,162,0.925,1,-0.022590415,1,6.268150826,1.671030194,162.0930486,3.442005189,4
6,100,162,1.075,1,0.052445951,1,6.272762451,1.672211675,162.0756656,3.4466594720000003,4
7,100,162,0.9,1,-0.034440945,1,6.161553081,1.633893809,162.0772294,3.138555034,4
8,100,162,1.1,1,0.065610644,1,6.167575533,1.635441551,162.0536732,3.1448847260000004,4
9,100,162,0.875,1,-0.046217399,1,6.059207935,1.590574546,162.0497971,2.837240347,4
10,100,162,1.125,1,0.078595941,1,6.03672465,1.584665281,162.162498,2.817354388,4
11,100,162,0.85,1,-0.058078853,1,5.945006173,1.539050473,162.0799308,2.522274792,4
12,100,162,1.15,1,0.092155255,1,5.967174338,1.544648881,161.9935343,2.541615832,4
13,100,162,0.825,1,-0.06977601,1,5.843792495,1.487948551,162.063012,2.219039081,4
14,100,162,1.175,1,0.105530154,1,5.873007721,1.495393113,161.943326,2.242912153,4
15,100,162,0.8,1,-0.075252787,1,5.736955625,1.435145141,162.0788625,2.044277483,8
16,100,162,1.2,1,0.125111215,1,5.768524473,1.443203006,161.9507188,2.053736423,8
17,100,162,0.775,1,-0.08682253,1,5.640352448,1.387683327,162.063156,2.041640594,8
18,100,162,1.225,1,0.13855289,1,5.673489747,1.395967359,161.9286743,2.060671816,8
19,100,162,0.75,1,-0.098347319,1,5.544177551,1.34650916,162.0569134,2.0499268610000003,8
20,100,162,1.25,1,0.151983592,1,5.572253513,1.353334523,161.9450045,2.06296029,8
21,100,162,0.725,1,-0.109866755,1,5.445299976,1.314726379,162.0734102,2.064515295,8
22,100,162,1.275,1,0.165592552,1,5.482492015,1.323397948,161.9278276,2.080801162,8
23,100,162,0.7,1,-0.12116931,1,5.360464755,1.300186206,162.0477219,2.0977897810000004,8
24,100,162,1.3,1,0.179134491,1,5.384106965,1.305372422,161.958051,2.1048399680000003,8
25,100,162,0.675,1,-0.132418045,1,5.276142531,1.303375612,162.0356446,2.14306579,8
26,100,162,1.325,1,0.192894907,1,5.299408834,1.308081718,161.9509186,2.148579792,8
27,100,162,0.65,1,-0.143672782,1,5.188308693,1.32671061,162.0519133,2.195288086,8
28,100,162,1.35,1,0.206711413,1,5.215471268,1.331688895,161.9579037,2.2074169990000003,8
29,100,162,0.625,1,-0.154769495,1,5.598114574,1.374454574,162.0540397,2.439306761,8
30,100,162,1.375,1,0.220631673,1,5.585177722,1.378874495,161.9679419,2.438375905,8
31,100,162,0.6,1,-0.165598791,1,6.343837414,1.44783011,162.0261125,2.8779985900000007,8
32,100,162,1.4,1,0.233865226,1,6.28684509,1.652623979,161.9681036,3.018185119,8
33,100,162,0.575,1,-0.177163313,1,7.050151335,1.68966479,162.0160466,3.495615583,8
34,100,162,1.425,1,0.248164021,1,7.045714873,1.689699803,161.9855297,3.492590369,8
35,100,162,0.55,1,-0.187755871,1,7.806217408,1.757833679,162.0146468,4.065504089999999,8
36,100,162,1.45,1,0.324190024,0,9.577205595,4.220956898,130.1423742,10.647777442,4
37,100,162,0.525,1,-0.198051656,1,8.55954792,1.856387705,161.9924133,4.755593903,8
38,100,162,1.475,1,0.324153771,0,13.89347137,6.136829351,129.9865394,23.764591116,4
39,100,162,0.5,1,-0.207987913,1,9.31114691,1.983881605,161.9552958,5.556325632,8
40,100,162,1.5,1,0.324669259,0,13.51730582,6.316216461,129.9351845,23.885992842,4
41,100,162,0.475,1,-0.217740377,1,10.06244277,2.137548094,161.914783,6.471370006,8
42,100,162,1.525,1,0.325148615,0,13.14047058,6.517308786,129.8874292,24.173345252,4
43,100,162,0.45,1,-0.227210871,1,10.81173615,2.314716614,161.8573949,7.535900687,8
44,100,162,1.55,1,0.32559174,0,13.08452333,6.737924223,129.8432833,25.124558902,4
45,100,162,0.425,1,-0.237020784,1,11.59170837,2.513336815,161.7792666,8.803544857999999,8
46,100,162,1.575,1,0.325998535,0,13.46422057,6.975975441,129.8027567,26.919752159,4
47,100,162,0.4,1,-0.240482372,1,12.52942653,2.798636359,161.9482276,10.703421853,6
48,100,162,1.6,1,0.326368902,0,14.44653997,7.229508602,129.7658592,29.950925417,4
49,100,162,0.375,1,-0.247754098,1,13.19967334,3.004339461,161.4940005,12.220127697000002,6
50,100,162,1.625,1,0.326702741,0,15.56030803,7.49672492,129.7326007,33.597362195,4
51,100,162,0.35,1,-0.254985527,1,13.93605989,3.238672197,161.4032367,14.049491984,6
52,100,162,1.65,1,0.326999952,0,16.6758467,7.775989,129.7029911,37.673396815,4
53,100,162,0.325,1,-0.261272866,1,14.66395803,3.481086854,161.2554796,16.046956784000002,6
54,100,162,1.675,1,0.327260436,0,17.79315601,8.065827734,129.6770404,42.190397676,4
55,100,162,0.3,1,-0.26964657,1,15.53053617,3.755400903,162.0435241,18.584866419,6
56,100,162,1.7,1,0.327484094,0,18.91223599,8.364922979,129.6547584,47.202237165,4
57,100,162,0.275,1,-0.274288579,1,16.28579845,4.022128005,162.0798831,21.106299542,6
58,100,162,1.725,1,0.327670825,0,20.03308666,8.672100581,129.6361553,52.698238103,4
59,100,162,0.25,1,-0.276783144,1,17.04045979,4.300066805,162.1108812,23.873404760000003,6
60,100,162,1.75,1,0.327820529,0,21.15570804,8.986317549,129.6212409,58.693339919,4
61,100,162,0.225,1,-0.27931943,1,17.80542995,4.58228095,162.2153463,26.904078614000003,6
62,100,162,1.775,1,0.327933106,0,22.28010016,9.3066487,129.6100254,65.228901698,4
63,100,162,0.2,1,0.509385478,0,27.30020047,8.712845051,141.8238338,86.167577288,8
64,100,162,1.8,1,0.328008455,0,23.40626302,9.632273549,129.6025186,72.29898690499999,4
65,100,162,0.175,1,0.327856677,0,25.26591057,8.285304942,129.7006978,72.619696337,6
66,100,162,1.825,1,0.328046475,0,24.53419663,9.962463962,129.5987308,79.91522754299999,4
67,100,162,0.15,1,0.328626451,0,24.51817346,8.154808479,129.624218,68.036280492,6
68,100,162,1.85,1,0.328047065,0,25.663901,10.29657283,129.5986719,88.130111403,4
